All,Alla
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Det gick inte att synkronisera en eller flera mediefiler. Se loggfilen för detaljer."
"Synchronization of media storages has been completed.","Synkronisering av medialagringar har slutförts."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Din webbserver är felaktigt inställd och tillåter obehörig åtkomst till känsliga filer. Kontakta ditt webbhotell för åtgärd."
"System Messages:",Meddelanden:
"Critical System Messages","Kritiska meddelanden"
"Major System Messages","Viktiga meddelanden"
"System messages",Meddelanden
Close,Stäng
"See All (","Visa alla ("
" unread)"," olästa)"
"Show Toolbar","Visa verktygsfält"
"Show List","Visa lista"
"Use HTTPS to Get Feed","Hämta feed via HTTPS"
"Update Frequency",Uppdateringsfrekvens
"Last Update","Senaste uppdatering"
Severity,Nivå
"Date Added","Tillagd datum"
Message,Meddelande
Actions,Åtgärder
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har tittat på och löst alla senaste systemmeddelanden. Vänligen uppdatera webbsidan för att få bort varningsnotisen."
"Manage Shopping Cart","Hantera varukorgen"
"Create Order","Skapa Order"
Back,Tillbaka
"Add Products","Lägg till produkter"
"Update Items and Quantities","Uppdatera artiklar och kvantiteter"
"Are you sure you want to clear your cart?","Är du säker på att du vill tömma varukorgen?"
"Clear my shopping cart","Töm kundvagnen"
"Add selections to my cart","Lägga till markeringar i min varukorg"
Cancel,Avbryt
"Shopping Cart for %1 in %2","Kundvagn för %1 i %2"
"Select products you want to buy","Välj produkter du vill köpa"
Product,Produkt
Price,Pris
Quantity,Antal
"Products in the Comparison List (%1)","Produkter i jämförelselistan (%1)"
"Last ordered items (%1)","Senast beställda artiklar (%1)"
Products,Produkter
SKU,Art.nr
"Recently Compared Products (%1)","Nyligen jämförde produkter (%1)"
"Recently Viewed Products (%1)","Nyligen visade produkter (%1)"
"Add to Shopping Cart by SKU","Lägg till i kundvagn via artikelnummer"
"Add to Shopping Cart","Lägg till i kundvagn"
"Wish List (%1)","Önskelista (%1)"
Apply,Tillämpa
Configure,Konfigurera
"Add to Order by SKU","Lägg till beställning av artikelnummer"
"Add to Order","Lägg till i order"
"Add Products to Order","Lägg till produkter i order"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) kräver uppmärksamhet.</span>"
"Remove All","Ta bort alla"
"Only %1%2%3 left in stock","Endast %1%2%3 kvar i lager"
"You can buy up to %1 of these per purchase.","Du kan köpa upp till %1 av dessa per köptillfälle."
"You must buy at least %1 of these per purchase.","Du måste köpa minst %1 av dessa per köptillfälle."
"Specify the product's options.","Välj produktenval."
"Alert me when this item is available.","Avisera mig när produkten är tillgänglig."
"Shopping cart management is disabled for this customer.","Kundvagnshantering är avstängt för den här kunden."
Customers,Kunder
"Shopping Cart",Kundvagn
"You do not have access to this.","Du har inte tillgång till detta."
"An error has occurred. See error log for details.","Ett fel har uppstått. Se loggen för detaljer."
"You cannot configure a product.","Du kan inte konfigurera en produkt."
"You removed the items.","Du tog bort artiklarna."
"You removed the item.","Du tog bort artikeln."
"You added %1 to your shopping cart.","Du har lagt till %1 i din kundvagn."
"You cannot add a product.","Du kan inte lägga till en produkt."
"Order by SKU","Beställning av SKU"
"The SKU was not found in the catalog.","SKU hittades inte i katalogen."
"Availability: Out of stock.","Tillgänglighet: slut i lager."
"We don't have as many of these as you want.","Vi har tyvärr inte den mängd du önskar av denna produkt i lager."
"You can't add this many to your cart.","Du kan inte lägga till så många utan denna produkt i kundvagnen."
"You need to choose options for your item.","Du måste välja alternativ för din artikel."
"We can't add the item to your cart.","Vi kan inte lägga till denna produkt i kundvagnen."
"Please enter an actual number in the ""Qty"" field.","Ange en faktiska tal i fältet ""Antal""."
"This product is assigned to another website.","Denna produkt är tilldelad till en annan webbplats."
"You can add only enabled products.","Du kan lägga till endast aktiverade produkter."
"You cannot upload this file.","Du kan inte ladda upp denna fil."
"The file is empty.","Filen är tom."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Du har inte angett en produkt SKU. Vänligen <a href=""%1""> Klicka här</a> för att lägga till produkter av SKU."
"You have not entered a product SKU.","Du har inte angett en produkt SKU."
"We can't add a product to cart by id ""%1"".","Vi kan inte lägga till en produkt i varukorgen efter id ""%1""."
"Something went wrong while reordering this product.","Något gick fel vid omordning denna produkt."
"We can't find this wish list.","Vi kan inte hitta denna önskelista."
"You added %1 product to your shopping cart.","Du lagt %1 produkt i din kundvagn."
"You added %1 products to your shopping cart.","Du lagt %1 produkt i din kundvagn."
"%1 product requires your attention.","%1 produkt kräver din uppmärksamhet."
"%1 products require your attention.","%1 produkt kräver din uppmärksamhet."
"Yes, for Specified Customer Groups","Ja, för angivna kundgrupper"
"Yes, for Everyone","Ja, för alla"
No,Nej
"Please upload the file in .csv format.","Vänligen ladda upp filen i Csv-format."
"%1 item(s) need your attention.","%1 objekt behöver din uppmärksamhet."
"Apply Coupon Code","Använd kupongkod"
"Remove Coupon Code","Ta bort kupongkoden"
"The coupon code ""%1"" is not valid.","Den kupongkoden ""%1"" är inte giltigt."
"Shopping Cart Items","Varukorgens Artiklar"
Qty,Antal
Subtotal,Delsumma
Discount,Rabatt
"Row Subtotal","Raden delsumma"
Action,Åtgärd
"No ordered items","Inga beställda artiklar"
"Total %1 product(s)","Totala %1 produkt(er)"
Subtotal:,Delsumma:
"Please select","Vänligen välj"
"Move to Wish List","Flytta till i önskelistan"
"No item specified.","Inga artiklar anges."
"Are you sure you want to remove this item?","Är du säker du vill ta bort denna artikel?"
"SKU number",SKU-nummer
"Upload File","Ladda upp fil"
"Your csv file must include ""sku"" and ""qty"" columns.","Din CSV-fil måste innehålla kolumnerna ""sku"" och ""antal""."
Reset,Återställ
"SKU: ","Art.nr: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Endast <span id=""%1_max_allowed"">%2</span> i lager"
Item,Artikel
"See price before order confirmation.","Se pris innan orderbekräftelse."
"What's this?","Vad är detta?"
"Incl. Tax","Inkl. Moms"
"Excl. Tax","-Exkl. Moms"
"Edit item parameters","Redigera parametrarna för"
Edit,Redigera
"Remove item","Ta bort artikel"
"Products Requiring Attention","Produkter som kräver uppmärksamhet"
"Add to Cart","Lägg till i kundvagn"
Sku,Artikelnummer
File,Fil
"File extensions allowed: .csv","Tillåtna filändelser: .csv"
"Add Row","Lägg till rad"
"Remove Row","Ta bort rad"
"Add Products By SKU","Lägg till produkter genom SKU"
"View Shopping Cart","Visa kundvagn"
"View and modify Shopping Cart","Visa och ändra kundvagn"
"Order by SKU Settings","Beställning av SKU inställningar"
"Enable Order by SKU on My Account in Storefront","Aktivera beställning av SKU på mitt konto i skyltfönster"
"Customer Groups",Kundgrupper
"Apply Coupon","Använd Kupong"
"Order by SKU Description","Beställning av SKU Beskrivning"
"Display a Link to Loading a Spreadsheet","Visa en länk till laddar ett kalkylblad"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definierar om en länk till Mittkonto &gt; beställning av SKU visas på widgeten"
"Link Text",Länktext
"The text of the link to the My Account &gt; Order by SKU page","Texten i länken till Mittkonto &gt; beställning av SKU"
"Load a list of SKUs","Läsa in en lista över SKU"
"Order by SKU Template","Beställning av SKU mall"
"Please correct the data sent.","Vänligen korrigera datan som skickats."
"Entity type model '%1' is not found","Enhet av modell '%1' finns inte"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entity type model måste vara en instans av \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Det finns ingen produkttyper för export"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klass implementerar inte \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Försäljning regel"
"Index sales rule","Index försäljning regel"
"Related Search Terms","Relaterade sökord"
"Add New Search Term","Lägg till nya sökterm"
button_label,knapptext
"Missing search engine parameter.","Sökmotor-parameter som saknas."
"Successful! Test again?","Lyckat! Testa igen?"
"Connection failed! Test again?","Anslutning misslyckades! Testa igen?"
"Enable Search Recommendations","Aktivera sökrekommendationer"
"When you enable this option your site may slow down.","När du aktiverar detta alternativ kan din webbplats bli långsammare."
"Search Recommendations Count","Antal sökrekommendationer"
"Show Results Count for Each Recommendation","Visa antalet resultat för varje rekommendation"
"Enable Search Suggestions","Aktivera sökförslag"
"Search Suggestions Count","Antal sökförslag"
"Show Results Count for Each Suggestion","Visa antalet resultat för varje förslag"
"Related search terms","Relaterade sökord"
"Did you mean","Menade du"
"Search Query",Sökterm
Store,Butik
Results,Resultat
Uses,Användningar
"Redirect URL",Omdirigerings-URL
"Suggested Term","Föreslagen term"
Yes,Ja
"RPC call failed, connection timed out after %time_out.","RPC-anropet misslyckades, anslutningen avbröts efter %time_out."
"Message has been rejected: %1","Meddelande har avvisats: %1"
"Error while checking if topic is synchronous","Fel vid kontroll om ämnet är synkront"
"Subscription status","Prenumerations status"
"Sorry, there has been an error processing your request. Please try again later.","Tyvärr, har det varit ett fel uppstod när din begäran bearbetades. Försök igen senare."
"Cron settings can't be saved","Cron inställningarna kan inte sparas"
"There was an error save new configuration value.","Det gick inte spara nya konfigurationsvärde."
"--Please Select--","--Vänligen Välj--"
"These arguments can't be empty ""%1""","De här argumenten kan inte lämnas tomma ""%1"""
"Cannot find predefined integration user!","Kan inte hitta fördefinierade integrering användaren!"
"File is not ready yet.","Filen är inte klar än."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Din bas-URL har ändrats och dina rapporter uppdateras. Avancerad rapportering blir tillgängliga när den här ändringen har behandlats. Försök igen senare."
"Failed to synchronize data to the Magento Business Intelligence service. ","Det gick inte att synkronisera data till tjänsten Magento Business Intelligence. "
TestMessage,Testmeddelande
"Apps and Games","Appar och Spel"
"Athletic/Sporting Goods","Idrotts-, och sportartiklar"
"Art and Design","Konst och Design"
"Advanced Reporting","Avancerad rapportering"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få nya insikter och ta kommandot över ditt företags prestanda, med hjälp av vår dynamiska produkt; ordrar och kundrapporter anpassade till dina kunddata."
"Go to Advanced Reporting","Gå till avancerad rapportering"
Analytics,Analytiker
Configuration,Konfiguration
"BI Essentials","Bl Essentials"
"Advanced Reporting Service","Service för avancerad rapportering"
"Time of day to send data","När ska data skickas"
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","För att personifiera din Advanced Reporting-upplevelse, vänligen välj din bransch."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Få mer insikt från Magento Business Intelligence</strong>"
"Auto Parts","Automatiska delar"
"Baby/Children’s Apparel, Gear and Toys","Spädbarn/barnkläder, tillbehör och leksaker"
"Beauty and Cosmetics","Skönhet och kosmetika"
"Books, Music and Magazines","Böcker, musik och tidningar"
"Crafts and Stationery","Hantverk och brevpapper"
"Consumer Electronics",Hemelektronik
"Deal Site",Realisations-sida
"Fashion Apparel and Accessories","Modekläder och tillbehör"
"Food, Beverage and Grocery","Mat, dryck och specerier"
"Home Goods and Furniture","Hushåll och möbler"
"Home Improvement",Heminredning
"Jewelry and Watches","Smycken och klockor"
"Mass Merchant",Multi-handlare
"Office Supplies",Kontorsmaterial
"Outdoor and Camping Gear","Utomhus och campingredskap"
"Pet Goods",Djurartiklar
"Pharma and Medical Devices","Pharma och medicintekniska produkter"
"Technology B2B","Teknologi B2B"
Done,Klart
Retry,"Försök igen"
"'Action Details - #' .","'Detaljer för åtgärd - #'."
"%1 item(s) have been scheduled for update.""","%1 objekt har schemalagts för uppdatering."""
"Bulk Actions Log","Log för bulk actions"
"%1 item(s) are currently being updated.","%1 objekt uppdateras för närvarande."
"Task ""%1"": ","Uppgift ""%1"": "
"%1 item(s) have been scheduled for update.","%1 objekt har schemalagts för uppdatering."
"%1 item(s) have been successfully updated.","Alla objekt är nu uppdaterade."
"%1 item(s) failed to update","%1 objekt gick inte att uppdatera"
Details,Detaljer
"View Details","Visa detaljer"
Dismiss,Avfärda
"Pending, in queue...","Väntande, i kö..."
"%1 items selected for mass update","%1 objekt som valts för massuppdatering"
", %1 successfully updated","%1 uppdaterades"
", %1 failed to update",", %1 gick inte att uppdatera"
"Something went wrong.","Något gick fel."
"Action Log",Åtgärdslogg
Report,Rapport
"Bulk Actions",Massåtgärder
"Days Saved in Log","Dagar som sparas i loggen"
"Description of Operation","Beskrivning av åtgärden"
Summary,Översikt
"Start Time",Starttid
"Items to Retry","Objekt till försök igen"
"To retry, select the items and click “Retry”.","Om du vill försöka igen, Välj objekt och klicka på ”försök igen”."
"Items That Can’t Be Updated.","Objekt som inte kan uppdateras."
"Meta Information",Metainformation
Error,Fel
"Dismiss All Completed Tasks","Avfärda alla slutförda uppgifter"
"Action Details - #","Detaljer för åtgärd - #"
"Number of Records Affected","Antal poster som påverkats"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Något gick fel vid sammanställa en lista över tillåtna resurser. Du kan läsa mer i loggen undantag."
"The role wasn't found for the user. Verify the role and try again.","Rollen hittades inte för användaren. Verifiera rollen och försök igen."
"You created the order.","Du skapade beställningen."
"Order saving error: %1","Sparafel: %1 för beställningen"
"Please choose a payment method.","Välj en betalningsmetod."
"We can't process your order right now. Please try again later.","Vi kan inte behandla din beställning just nu. Försök igen senare."
"An error occurred on the server. Please try to place the order again.","Ett fel uppstod på servern. Försök att lägga beställningen igen."
"Credit Card: xxxx-%1","Kreditkort: xxxx-%1"
"amount %1","belopp %1"
failed.,misslyckades.
successful.,lyckades.
"Authorize.Net Transaction ID %1.","Authorize.Net transaktions-ID %1."
authorize,auktorisera
"authorize and capture","auktorisera och fånga"
capture,fånga
refund,återbetalning
void,makulera
"Gateway error: %1","Gateway fel: %1"
"Something went wrong in the payment gateway.","Något gick fel i betalningsgateway."
"Invalid amount for capture.","Kan inte ta betalt, ogiltigt belopp."
"Payment capturing error.",Betalningsfel
"Invalid transaction ID.","Ogiltigt transaktions-ID."
"Payment voiding error.",Betalningsfel
"Invalid amount for refund.","Ogiltigt belopp för återbetalning."
"Payment refunding error.",Återbetalningsfel
"The transaction was declined because the response hash validation failed.","Transaktionen nekades eftersom svar hash-verifieringen misslyckades."
"This payment didn't work out because we can't find this order.","Betalningen kunde inte utföras eftersom vi inte kan hitta ordern."
"There was a payment authorization error.","En betalning auktorisering fel uppstod."
"Please enter a transaction ID to authorize this payment.","Ange en transaktions-ID för att godkänna betalningen."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Något gick fel: det betalade beloppet inte matchar orderbeloppet. Vänligen rätta till detta och försök igen."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaktion %1 har godkänts. Belopp %2. Status är ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaktion %1 varit annullerad/minskade. Transaktionsstatusen är ""%2"". Belopp %3."
"Authorize Only","Tillåta endast"
"Authorize and Capture","Auktorisera och debitera"
"Unable to get transaction details. Try again later.","Det går inte att få information om transaktionen. Försök igen senare."
"Electronic payments save the trees.","Elektroniska betalningar sparar på skogen."
"Credit Card Type",Kreditkortstyp
"Please Select","Vänligen välj"
"Credit Card Number",Kreditkortsnummer
"Expiration Date",Utgångsdatum
"Card Verification Number","Verifikationsnummer för kort"
"Fraud Detection ","Bedrägerikontroll "
"FDS Filter Action","FDS filteråtgärd"
"AVS Response","AVS svar"
"Card Code Response","Kort kod svar"
"CAVV Response","CAVV svar"
"Fraud Filters","Bedrägeri filter"
"Place Order",Beställ
"Sorry, but something went wrong. Please contact the seller.","Tyvärr, något gick fel. Kontakta affären."
"Authorize.net Direct Post","Authorize.net direkt Post"
Enabled,Aktiverad
"Payment Action",Betalningsåtgärd
Title,Titel
"API Login ID","API inloggnings-Id"
"Transaction Key",Transaktionsnyckel
"Merchant MD5","Köpman MD5"
"New Order Status","Ny orderstatus"
"Test Mode",Testläge
"Gateway URL",Gateway-URL
"Transaction Details URL","Transaktions Detaljer URL"
"Accepted Currency","Accepterade valutor"
Debug,Felsök
"Email Customer","Email kund"
"Merchant's Email","Merchants Email"
"Credit Card Types",Kreditkortstyper
"Credit Card Verification",Kontokortsverifiering
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Minimum Order Total","Minsta orderbelopp"
"Maximum Order Total","Högsta orderbelopp"
"Sort Order",Sorteringsordning
"Cannot place order.","Det gick inte att skapa ordern."
"Unable to place order. Please try again later.","Det går inte att beställa. Försök igen senare."
Environment,Miljö
"Transaction has been declined. Please try again later.","Transaktionen har avvisats. Försök igen senare."
options,alternativ
"Select all","Markera alla"
"Deselect all","Avmarkera alla"
"%s of %s selected","%s av %s valda"
"B2B Features",B2B-funktioner
"Invalid Form Key. Please refresh the page.","Ogiltig Form nyckel. Vänligen uppdatera sidan."
"You entered an invalid Secret Key. Please refresh the page.","Du har angett en ogiltig hemlig nyckel. Vänligen uppdatera sidan."
"Cache Storage Management","Cache-lagrings hantering"
"Flush Magento Cache","Töm magento cachen"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Cache-lagringen kan innehålla ytterligare uppgifter. Är du säker på att du vill tömma den?"
"Flush Cache Storage","Tömma Cache-lagring"
Invalidated,Ogiltig
Orders,Beställningar
Amounts,Belopp
Bestsellers,Bästsäljare
"Most Viewed Products","Mest visade produkter"
"New Customers","Nya kunder"
Customer,Kund
Guest,Gäst
Items,Artiklar
Total,Summa
"Lifetime Sales","Livstids försäljning"
"Average Order","Medelvärdet för en Order"
Average,Genomsnitt
Views,Visningar
Revenue,Intäkter
Tax,Skatt
Shipping,Frakt
"Images (.gif, .jpg, .png)","Bilder (.gif, .jpg, .png)"
"All Files","Alla filer"
"Reset to Default","Återställ till standardinställningar"
"All Store Views","Alla butiksvyer"
"What is this?","Vad är det här?"
"Save Account","Spara konto"
"My Account","Mitt konto"
"Account Information",Kontoinformation
"User Name",Användarnamn
"First Name",Förnamn
"Last Name",Efternamn
Email,E-post
"User Email","Användar E-post"
"New Password","Nytt lösenord"
"Password Confirmation","Lösenords bekräftelse"
"Interface Locale","Gränssnitts språk"
"Current User Identity Verification","Identitetsverifiering för nuvarande användare"
"Your Password","Ditt lösenord"
"Save Cache Settings","Spara Cache-inställningar"
"Catalog Rewrites","Katalog överskrivningar"
Refresh,"Ladda om"
"Images Cache","Bild cache"
Clear,Rensa
"Search Index",Söknindex
Rebuild,Återskapa
"Inventory Stock Status",Lagerstatus
"Rebuild Catalog Index","Återskapa indexet Katalogfält"
"Rebuild Flat Catalog Category","Återskapa Flat katalog katagorin"
"Rebuild Flat Catalog Product","Återskapa Flat katalog produkterna"
"Cache Control","Cache kontroll"
"All Cache","All cache"
"No change","Ingen förändring"
Disable,Inaktivera
Enable,Aktivera
"Add Design Change","Lägg till designförändring"
Delete,"Ta bort"
Save,Spara
"Edit Design Change","Redigera designändring"
"New Store Design Change","Ny butiks design ändring"
"General Settings","Generella inställningar"
"-- Please Select --","--Vänligen välj--"
"Custom Design","Anpassad Design"
"Date From","Datum från"
"Date To","Datum till"
"Design Change",Designändring
General,Allmänt
"Delete %1 '%2'","Ta bort %1 '%2'"
"Delete %1","Ta bort %1"
"Block Information","Block information"
"Backup Options","Alternativ för säkerhetskopiering"
"Create DB Backup","Skapa DB Backup"
"Delete Store","Ta bort butik"
"Delete Web Site","Ta bort webbplats"
"Save Web Site","Spara webbplats"
"Save Store","Spara butik"
"Save Store View","Spara butiksvy"
"Delete Store View","Tag bort butiksvy"
"Edit Web Site","Redigera webbplats"
"New Web Site","Ny webbplats"
"Edit Store","Redigera butik"
"New Store","Ny butik"
"Edit Store View","Redigera butiksvy"
"New Store View","Ny butiksvy"
"Store Information","Butiks information"
"Web Site",Webbplats
Name,Namn
Code,Kod
"Root Category",Rotkategori
"Default Store View","Standard butiks vy"
"Store View Information","Butiksvys information"
Disabled,Inaktiverad
"Web Site Information",Webbplatsinformation
"Default Store",Standardarkivet
"Set as Default","Ange som standard"
Stores,Butiker
"Create Website","Skapa hemsida"
"Create Store","Skapa butik"
"Create Store View","Skapa butiks vy"
Home,Hem
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Add New Image","Lägg till ny bild"
"Export block for grid %1 is not defined","Exportera block för rutnät %1 inte definierat"
"Reset Filter","Återställ Filter"
Search,Sök
Any,Valfri
"All Countries","Alla länder"
From,Från
To,Till
"Date selector",Datumväljaren
"[ deleted ]",Borttagen
"Select All","Markera alla"
" [deleted]"," [Borttagen]"
"We couldn't find any records.","Vi kunde inte hitta några poster."
"Add New","Lägg till ny"
"Invalid export type supplied for grid export block","Ogiltig exporttyp levereras för rutnät export block"
"Please correct the column format and try again.","Vänligen korrigera Kolumnformatet och försök igen."
Submit,Skicka
"Unknown block type","Okänd blocktyp"
"Please correct the tab configuration and try again. Tab Id should be not empty","Vänligen korrigera Flikkonfiguration och försök igen. Flik-Id får inte vara tom"
"Please correct the tab configuration and try again.","Vänligen korrigera Flikkonfiguration och försök igen."
"You have logged out.","Du har loggat ut."
"The image cache was cleaned.","Bild cachen har rensats bort."
"An error occurred while clearing the image cache.","Ett fel uppstod när cachen rensades."
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cachen har rensats."
"An error occurred while clearing the JavaScript/CSS cache.","Ett fel uppstod när du rensade cacheminnet för JavaScript/CSS."
"The static files cache has been cleaned.","Statiska filer cachen har rensats."
"You flushed the cache storage.","Du har tömt cache-lagringen."
"The Magento cache storage has been flushed.","Magento cache lagringen har rensats."
"Cache Management","Cache lagringen"
"You can't change status of cache type(s) in production mode","Du kan inte ändra status för cache typ(er) i produktionsläge"
"%1 cache type(s) disabled.","%1 cache typ(er) inaktiverad."
"An error occurred while disabling cache.","Ett fel uppstod när cachen inaktiverades."
"%1 cache type(s) enabled.","%1 cache typ(er) aktiverad."
"An error occurred while enabling cache.","Ett fel uppstod när cachen inaktiverades."
"%1 cache type(s) refreshed.","%1 cache typ(er) uppdaterad."
"An error occurred while refreshing cache.","Ett fel uppstod medans cachen laddades om."
Dashboard,Översikt
"We updated lifetime statistic.","Vi uppdaterade livstids statistiken."
"invalid request","ogiltig begäran"
"see error log for details","se loggen för Detaljer"
"Service unavailable: %1","Tjänsten är inte tillgänglig: %1"
"Access Denied.","Nekad åtkomst."
"You need more permissions to do this.","Behöver du fler behörigheter att göra detta."
"No search modules were registered","Ingen Sök-moduler registrerades"
"Please make sure that all global admin search modules are installed and activated.","Kontrollera att alla globala admin Sök moduler är installerat och aktiverat."
"You saved the account.","Du har sparat kontot."
"An error occurred while saving account.","Ett fel uppstod när kontot sparades."
"You deleted the design change.","Du bort design förändringen."
"You can't delete the design change.","Du kan inte radera designändringen."
"Edit Store Design Change","Redigera Store Design förändringen"
"You saved the design change.","Du har sparat design ändringen."
"Manage Stores","Hantera butiker"
"The database was backed up.","Databasen säkerhetskopierades."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","En %1 kommer inte tar bort information i samband med %1 (t.ex. kategorier, produkter, etc.), men %1 kommer inte att kunna återställas. Det föreslås att du skapar en säkerhetskopia av databasen innan du tar bort %1."
"Something went wrong. Please try again.","Något gick fel. Vänligen försök igen."
"This store cannot be deleted.","Denna butik kan inte raderas."
"You deleted the store.","Du bort butiken."
"Unable to delete the store. Please try again later.","Det går inte att ta bort butiken. Försök igen senare."
"This store view cannot be deleted.","Denna butik Visa kan inte raderas."
"Store View",Butiksvy
"You deleted the store view.","Du bort vyn store."
"Unable to delete the store view. Please try again later.","Det går inte att ta bort butiksvyn . Försök igen senare."
"This website cannot be deleted.","Denna webbplats kan inte raderas."
"You deleted the website.","Du bort webbplatsen."
"Unable to delete the website. Please try again later.","Det gick Inte att ta bort webbplatsen. Försök igen senare."
"The website does not exist.","Webbplatsen finns inte."
"Before modifying the website code please make sure it is not used in index.php.","Kontrollera att den inte används i index.php innan du ändrar kodexen webbplats."
"The store does not exist","Butiken finns inte"
"Store view doesn't exist","Butiksvyn finns inte"
"Before modifying the store view code please make sure it is not used in index.php.","Före du ändrar butiksvyn, vänligen kontrollera att den inte används i index.php."
"New ","Ny "
"All Stores","Alla butiker"
"You saved the website.","Du har sparat hemsidan."
"The default store cannot be disabled","Standardarkivet kan inte inaktiveras"
"You saved the store view.","Du sparade vyn store."
"An inactive store view cannot be saved as default store view","En inaktiv butiksvy kan inte sparas som standard butiksvy"
"You saved the store.","Du har sparat butiken."
"Something went wrong while saving. Please review the error log.","Något gick fel när du sparade. Vänligen Granska felloggen."
"Last 24 Hours","Senaste 24 timmarna"
"Last 7 Days","Senaste 7 dagarna"
"Current Month","Aktuell månad"
"Authentication storage is incorrect.","Autentisering lagring är felaktiga."
Order,Beställning
"Order #%1","Beställ #%1"
"Sorry, you need permissions to view this content.","Tyvärr, du behöver rättigheter för att visa detta innehåll."
"Next steps","Nästa steg"
"If you think this is an error, try signing out and signing in again.","Om du tror att detta är ett fel, prova att logga ut och logga in igen."
"Contact a system administrator or store owner to gain permissions.","Kontakta en systemadministratör eller butiksägaren för att få behörighet."
"previous page","föregående sida"
"Welcome, please sign in","Välkommen, vänligen logga in"
Username,Användarnamn
"user name",användarnamn
Password,Lösenord
password,lösenord
"Sign in","Logga in"
"Select Range:","Välj intervall:"
"No Data Found","Inga Data hittades"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Diagrammet är inaktiverad. För att aktivera diagrammet, klicka <a href=""%1""> här</a>."
"Last Orders","Senaste ordrarna"
"Last Search Terms","Senaste söktermererna"
"Top Search Terms","Topp söktermerna"
